Time measured;Middeltemperatur i 2m høyde (TM);Globalstråling (Q0)
2018-01-01 00:00:00+01;-13.8;1.7
2018-01-01 01:00:00+01;-13.0;1.8
2018-01-01 02:00:00+01;-12.0;1.6
2018-01-01 03:00:00+01;-10.8;1.7
2018-01-01 04:00:00+01;-4.8;0.6
2018-01-01 05:00:00+01;-3.5;2.0
2018-01-01 06:00:00+01;-2.8;1.8
2018-01-01 07:00:00+01;-2.3;1.8
2018-01-01 08:00:00+01;-2.6;1.8
2018-01-01 09:00:00+01;-2.7;2.4
2018-01-01 10:00:00+01;-1.8;4.7
2018-01-01 11:00:00+01;-1.0;19.8
2018-01-01 12:00:00+01;-1.1;20.8
2018-01-01 13:00:00+01;-0.8;13.8
2018-01-01 14:00:00+01;-0.9;5.3
2018-01-01 15:00:00+01;-0.9;2.1
2018-01-01 16:00:00+01;-0.9;2.0
2018-01-01 17:00:00+01;-1.3;1.9
2018-01-01 18:00:00+01;-0.9;1.8
2018-01-01 19:00:00+01;-2.3;2.3
2018-01-01 20:00:00+01;-3.8;2.1
2018-01-01 21:00:00+01;-3.9;2.0
2018-01-01 22:00:00+01;-3.9;1.8
2018-01-01 23:00:00+01;-3.8;1.7
2018-01-02 00:00:00+01;-3.7;1.7
2018-01-02 01:00:00+01;-4.1;1.8
2018-01-02 02:00:00+01;-4.6;1.8
2018-01-02 03:00:00+01;-4.5;1.7
2018-01-02 04:00:00+01;-4.4;1.7
2018-01-02 05:00:00+01;-4.6;1.9
2018-01-02 06:00:00+01;-4.9;1.6
2018-01-02 07:00:00+01;-4.4;1.7
2018-01-02 08:00:00+01;-4.6;1.6
2018-01-02 09:00:00+01;-3.8;2.6
2018-01-02 10:00:00+01;-4.3;6.1
2018-01-02 11:00:00+01;-3.9;6.0
2018-01-02 12:00:00+01;-3.5;9.2
2018-01-02 13:00:00+01;-3.1;10.5
2018-01-02 14:00:00+01;-3.9;8.3
2018-01-02 15:00:00+01;-4.7;2.2
2018-01-02 16:00:00+01;-5.6;1.6
2018-01-02 17:00:00+01;-7.9;1.4
2018-01-02 18:00:00+01;-8.4;0.8
2018-01-02 19:00:00+01;-10.2;1.2
2018-01-02 20:00:00+01;-11.7;1.1
2018-01-02 21:00:00+01;-12.3;1.2
2018-01-02 22:00:00+01;-12.5;1.0
2018-01-02 23:00:00+01;-12.8;1.8
2018-01-03 00:00:00+01;-13.4;1.8
2018-01-03 01:00:00+01;-14.3;2.0
2018-01-03 02:00:00+01;-15.2;2.1
2018-01-03 03:00:00+01;-16.1;2.0
2018-01-03 04:00:00+01;-16.7;1.7
2018-01-03 05:00:00+01;-16.4;1.6
2018-01-03 06:00:00+01;-15.9;1.6
2018-01-03 07:00:00+01;-15.3;1.7
2018-01-03 08:00:00+01;-14.7;1.7
2018-01-03 09:00:00+01;-14.0;2.4
2018-01-03 10:00:00+01;-13.4;6.0
2018-01-03 11:00:00+01;-12.6;10.1
2018-01-03 12:00:00+01;-11.9;11.0
2018-01-03 13:00:00+01;-11.4;6.8
2018-01-03 14:00:00+01;-10.9;3.8
2018-01-03 15:00:00+01;-10.5;2.4
2018-01-03 16:00:00+01;-10.0;2.1
2018-01-03 17:00:00+01;-9.7;2.1
2018-01-03 18:00:00+01;-9.4;2.1
2018-01-03 19:00:00+01;-9.2;2.1
2018-01-03 20:00:00+01;-9.1;2.1
2018-01-03 21:00:00+01;-8.9;2.1
2018-01-03 22:00:00+01;-8.7;2.1
2018-01-03 23:00:00+01;-8.5;2.1
2018-01-04 00:00:00+01;-8.4;2.1
2018-01-04 01:00:00+01;-8.3;2.1
2018-01-04 02:00:00+01;-8.2;2.1
2018-01-04 03:00:00+01;-8.0;2.1
2018-01-04 04:00:00+01;-7.8;2.1
2018-01-04 05:00:00+01;-7.6;2.1
2018-01-04 06:00:00+01;-7.4;2.1
2018-01-04 07:00:00+01;-7.2;2.1
2018-01-04 08:00:00+01;-6.9;2.1
2018-01-04 09:00:00+01;-6.7;2.5
2018-01-04 10:00:00+01;-6.4;4.3
2018-01-04 11:00:00+01;-6.1;6.4
2018-01-04 12:00:00+01;-5.7;6.6
2018-01-04 13:00:00+01;-5.4;7.0
2018-01-04 14:00:00+01;-5.2;3.8
2018-01-04 15:00:00+01;-5.2;2.3
2018-01-04 16:00:00+01;-5.2;2.1
2018-01-04 17:00:00+01;-5.0;2.1
2018-01-04 18:00:00+01;-4.5;1.8
2018-01-04 19:00:00+01;-4.1;1.8
2018-01-04 20:00:00+01;-4.1;1.9
2018-01-04 21:00:00+01;-4.2;1.7
2018-01-04 22:00:00+01;-4.5;1.7
2018-01-04 23:00:00+01;-4.7;1.8
2018-01-05 00:00:00+01;-4.8;2.1
2018-01-05 01:00:00+01;-4.9;2.1
2018-01-05 02:00:00+01;-4.9;2.0
2018-01-05 03:00:00+01;-4.9;2.0
2018-01-05 04:00:00+01;-5.2;1.9
2018-01-05 05:00:00+01;-5.4;1.7
2018-01-05 06:00:00+01;-5.6;1.7
2018-01-05 07:00:00+01;-6.0;2.1
2018-01-05 08:00:00+01;-6.2;2.1
2018-01-05 09:00:00+01;-6.3;2.7
2018-01-05 10:00:00+01;-6.8;6.0
2018-01-05 11:00:00+01;-7.0;8.7
2018-01-05 12:00:00+01;-7.4;9.3
2018-01-05 13:00:00+01;-7.9;8.7
2018-01-05 14:00:00+01;-8.3;4.7
2018-01-05 15:00:00+01;-8.9;2.4
2018-01-05 16:00:00+01;-8.4;1.5
2018-01-05 17:00:00+01;-8.3;1.7
2018-01-05 18:00:00+01;-7.9;1.7
2018-01-05 19:00:00+01;-8.8;2.0
2018-01-05 20:00:00+01;-8.4;1.8
2018-01-05 21:00:00+01;-7.6;1.5
2018-01-05 22:00:00+01;-6.7;1.5
2018-01-05 23:00:00+01;-5.9;1.2
2018-01-06 00:00:00+01;-5.4;1.3
2018-01-06 01:00:00+01;-5.6;1.5
2018-01-06 02:00:00+01;-5.5;1.5
2018-01-06 03:00:00+01;-5.9;1.3
2018-01-06 04:00:00+01;-6.5;1.3
2018-01-06 05:00:00+01;-6.1;1.0
2018-01-06 06:00:00+01;-5.9;1.0
2018-01-06 07:00:00+01;-6.9;1.9
2018-01-06 08:00:00+01;-6.6;1.6
2018-01-06 09:00:00+01;-7.7;3.3
2018-01-06 10:00:00+01;-8.5;6.9
2018-01-06 11:00:00+01;-8.9;13.7
2018-01-06 12:00:00+01;-8.5;12.0
2018-01-06 13:00:00+01;-8.1;8.2
2018-01-06 14:00:00+01;-7.9;5.6
2018-01-06 15:00:00+01;-6.5;1.7
2018-01-06 16:00:00+01;-5.9;0.8
2018-01-06 17:00:00+01;-6.3;0.7
2018-01-06 18:00:00+01;-6.5;0.8
2018-01-06 19:00:00+01;-9.2;2.3
2018-01-06 20:00:00+01;-10.4;1.7
2018-01-06 21:00:00+01;-11.5;1.7
2018-01-06 22:00:00+01;-11.9;1.5
2018-01-06 23:00:00+01;-14.3;2.6
2018-01-07 00:00:00+01;-15.5;1.9
2018-01-07 01:00:00+01;-16.8;1.7
2018-01-07 02:00:00+01;-18.4;1.9
2018-01-07 03:00:00+01;-17.4;0.9
2018-01-07 04:00:00+01;-15.4;0.5
2018-01-07 05:00:00+01;-14.3;1.2
2018-01-07 06:00:00+01;-14.0;1.5
2018-01-07 07:00:00+01;-13.5;1.5
2018-01-07 08:00:00+01;-11.9;1.0
2018-01-07 09:00:00+01;-11.2;2.4
2018-01-07 10:00:00+01;-9.9;4.2
2018-01-07 11:00:00+01;-2.7;11.3
2018-01-07 12:00:00+01;-1.4;18.3
2018-01-07 13:00:00+01;-0.9;14.1
2018-01-07 14:00:00+01;-2.0;7.3
2018-01-07 15:00:00+01;-3.5;1.3
2018-01-07 16:00:00+01;-3.9;0.5
2018-01-07 17:00:00+01;-3.9;0.4
2018-01-07 18:00:00+01;-4.8;1.0
2018-01-07 19:00:00+01;-5.6;1.3
2018-01-07 20:00:00+01;-6.2;1.4
2018-01-07 21:00:00+01;-7.6;1.6
2018-01-07 22:00:00+01;-8.8;1.4
2018-01-07 23:00:00+01;-9.9;1.6
2018-01-08 00:00:00+01;-10.6;1.3
2018-01-08 01:00:00+01;-10.9;1.0
2018-01-08 02:00:00+01;-11.8;1.4
2018-01-08 03:00:00+01;-12.1;1.2
2018-01-08 04:00:00+01;-11.3;1.3
2018-01-08 05:00:00+01;-12.0;1.3
2018-01-08 06:00:00+01;-11.4;1.1
2018-01-08 07:00:00+01;-9.6;1.4
2018-01-08 08:00:00+01;-9.3;1.7
2018-01-08 09:00:00+01;-9.2;3.5
2018-01-08 10:00:00+01;-9.0;8.5
2018-01-08 11:00:00+01;-9.2;17.4
2018-01-08 12:00:00+01;-9.1;13.5
2018-01-08 13:00:00+01;-9.2;11.1
2018-01-08 14:00:00+01;-9.2;5.9
2018-01-08 15:00:00+01;-8.7;2.4
2018-01-08 16:00:00+01;-7.7;1.6
2018-01-08 17:00:00+01;-7.4;1.6
2018-01-08 18:00:00+01;-5.9;1.6
2018-01-08 19:00:00+01;-5.8;2.0
2018-01-08 20:00:00+01;-5.9;1.8
2018-01-08 21:00:00+01;-6.4;1.9
2018-01-08 22:00:00+01;-7.0;1.9
2018-01-08 23:00:00+01;-7.9;2.0
2018-01-09 00:00:00+01;-8.7;1.6
2018-01-09 01:00:00+01;-9.1;1.7
2018-01-09 02:00:00+01;-9.8;1.4
2018-01-09 03:00:00+01;-11.0;1.4
2018-01-09 04:00:00+01;-11.9;1.2
2018-01-09 05:00:00+01;-13.0;1.2
2018-01-09 06:00:00+01;-14.3;0.8
2018-01-09 07:00:00+01;-14.8;0.7
2018-01-09 08:00:00+01;-15.8;0.9
2018-01-09 09:00:00+01;-16.7;2.4
2018-01-09 10:00:00+01;-17.3;8.0
2018-01-09 11:00:00+01;-17.2;21.8
2018-01-09 12:00:00+01;-17.0;22.1
2018-01-09 13:00:00+01;-17.5;8.9
2018-01-09 14:00:00+01;-18.1;5.6
2018-01-09 15:00:00+01;-19.0;1.5
2018-01-09 16:00:00+01;-19.8;0.3
2018-01-09 17:00:00+01;-20.8;0.4
2018-01-09 18:00:00+01;-21.3;0.3
2018-01-09 19:00:00+01;-21.8;0.4
2018-01-09 20:00:00+01;-22.3;0.5
2018-01-09 21:00:00+01;-22.5;0.5
