Time measured;Middeltemperatur i 2m høyde (TM);Globalstråling (Q0)
2018-01-01 00:00:00+01;-1.0;0.0
2018-01-01 01:00:00+01;0.1;0.0
2018-01-01 02:00:00+01;0.6;0.0
2018-01-01 03:00:00+01;0.8;0.0
2018-01-01 04:00:00+01;1.0;0.0
2018-01-01 05:00:00+01;1.1;0.0
2018-01-01 06:00:00+01;1.3;0.0
2018-01-01 07:00:00+01;1.4;0.0
2018-01-01 08:00:00+01;1.5;0.0
2018-01-01 09:00:00+01;1.7;2.2
2018-01-01 10:00:00+01;1.8;13.5
2018-01-01 11:00:00+01;1.8;15.9
2018-01-01 12:00:00+01;2.0;33.8
2018-01-01 13:00:00+01;2.1;20.8
2018-01-01 14:00:00+01;2.0;8.0
2018-01-01 15:00:00+01;2.0;0.3
2018-01-01 16:00:00+01;1.8;0.0
2018-01-01 17:00:00+01;1.9;0.0
2018-01-01 18:00:00+01;2.0;0.0
2018-01-01 19:00:00+01;2.1;0.0
2018-01-01 20:00:00+01;2.1;0.0
2018-01-01 21:00:00+01;2.1;0.0
2018-01-01 22:00:00+01;2.1;0.0
2018-01-01 23:00:00+01;2.1;0.0
2018-01-02 00:00:00+01;2.4;0.0
2018-01-02 01:00:00+01;2.2;0.0
2018-01-02 02:00:00+01;2.1;0.0
2018-01-02 03:00:00+01;1.5;0.0
2018-01-02 04:00:00+01;1.2;0.0
2018-01-02 05:00:00+01;0.9;0.0
2018-01-02 06:00:00+01;0.6;0.0
2018-01-02 07:00:00+01;0.5;0.0
2018-01-02 08:00:00+01;0.3;0.0
2018-01-02 09:00:00+01;0.2;4.0
2018-01-02 10:00:00+01;0.4;27.2
2018-01-02 11:00:00+01;0.7;51.7
2018-01-02 12:00:00+01;1.2;60.9
2018-01-02 13:00:00+01;0.9;46.4
2018-01-02 14:00:00+01;0.9;28.4
2018-01-02 15:00:00+01;-0.7;1.0
2018-01-02 16:00:00+01;-1.1;0.0
2018-01-02 17:00:00+01;-1.9;0.0
2018-01-02 18:00:00+01;-3.2;0.0
2018-01-02 19:00:00+01;-4.4;0.0
2018-01-02 20:00:00+01;-4.5;0.0
2018-01-02 21:00:00+01;-4.0;0.0
2018-01-02 22:00:00+01;-3.8;0.0
2018-01-02 23:00:00+01;-4.0;0.0
2018-01-03 00:00:00+01;-4.3;0.0
2018-01-03 01:00:00+01;-5.0;0.0
2018-01-03 02:00:00+01;-4.8;0.0
2018-01-03 03:00:00+01;-4.4;0.0
2018-01-03 04:00:00+01;-4.2;0.0
2018-01-03 05:00:00+01;-4.5;0.0
2018-01-03 06:00:00+01;-4.6;0.0
2018-01-03 07:00:00+01;-4.6;0.0
2018-01-03 08:00:00+01;-4.4;0.0
2018-01-03 09:00:00+01;-4.1;3.5
2018-01-03 10:00:00+01;-3.9;12.4
2018-01-03 11:00:00+01;-3.2;23.5
2018-01-03 12:00:00+01;-2.3;18.1
2018-01-03 13:00:00+01;-1.0;11.6
2018-01-03 14:00:00+01;-0.9;3.8
